Date,Price,Open,High,Low,Vol.,Change %
05/16/1996,940.96,958.17,958.87,939.99,38.68M,-1.80%
05/15/1996,958.17,963.13,965.63,953.63,41.38M,-0.62%
05/14/1996,964.11,979.26,982.86,963.93,48.76M,-1.49%
05/13/1996,978.73,970.81,982.47,970.81,56.26M,0.83%
05/11/1996,970.64,967.41,973.3,964.2,34.59M,0.50%
05/10/1996,965.83,959.77,965.88,954.16,48.02M,0.70%
05/09/1996,959.14,976.24,976.24,959.14,49.13M,-1.80%
05/08/1996,976.75,986.97,992.07,976.75,67.95M,-1.02%
05/07/1996,986.84,975.28,989.86,975.28,63.60M,1.31%
05/06/1996,974.1,965.27,975.33,965.27,54.86M,0.98%
05/04/1996,964.65,966.8,973.34,964.34,34.18M,-0.11%
05/03/1996,965.67,961.49,967.31,955.17,45.14M,0.43%
05/02/1996,961.52,980.6,980.6,961.5,46.82M,-1.98%
04/30/1996,980.9,984.93,991.24,978.04,68.97M,-0.42%
04/29/1996,985.03,968.88,987.09,968.88,58.45M,1.71%
04/27/1996,968.45,964.53,969.17,964.3,29.74M,0.40%
04/26/1996,964.57,964.64,972.07,959.69,44.15M,-0.01%
04/25/1996,964.69,957.56,977.44,957.56,57.17M,0.84%
04/24/1996,956.61,940.5,956.65,934.53,46.24M,1.71%
04/23/1996,940.55,951.47,957.95,940.55,52.69M,-1.06%
04/22/1996,950.61,941.75,957.61,941.75,57.15M,0.95%
04/20/1996,941.69,948.6,952.21,941.66,42.81M,-0.70%
04/19/1996,948.37,938.13,948.94,935.67,67.14M,1.23%
04/18/1996,936.89,923.86,936.91,919.98,74.04M,1.57%
04/17/1996,922.4,908.03,922.4,908.03,60.19M,1.62%
04/16/1996,907.73,907.85,914.2,905.09,46.57M,-0.04%
04/15/1996,908.09,895.65,910.31,895.65,48.11M,1.40%
04/13/1996,895.57,890.05,895.67,886.88,28.72M,0.65%
04/12/1996,889.82,878.73,889.93,878.73,29.55M,2.38%
04/10/1996,869.17,868.54,873.11,867.9,31.75M,-0.07%
04/09/1996,869.82,876.14,881.18,869.58,24.22M,-0.82%
04/08/1996,877.03,873.56,879.25,872.46,25.96M,0.02%
04/06/1996,876.86,877.9,877.9,868.98,19.70M,-0.53%
04/04/1996,881.5,884.06,887.12,877.97,28.64M,-0.37%
04/03/1996,884.75,883.93,884.94,881.5,29.38M,0.03%
04/02/1996,884.47,877.95,884.55,873.27,37.16M,0.68%
04/01/1996,878.47,876.57,884.16,869.39,73.97M,0.49%
03/30/1996,874.16,867.14,874.18,867.14,15.15M,0.85%
03/29/1996,866.76,856.49,866.82,856.19,16.92M,1.19%
03/28/1996,856.56,857.96,862.11,854.97,21.36M,-0.08%
03/27/1996,857.21,859.11,861.65,855.6,18.11M,-0.22%
03/26/1996,859.07,863.01,864.95,857.79,18.92M,-0.49%
03/25/1996,863.27,869.05,869.99,862.28,19.49M,-0.63%
03/23/1996,868.76,872.41,872.64,867.92,16.53M,-0.38%
03/22/1996,872.04,868.17,872.96,868.05,23.89M,0.44%
03/21/1996,868.2,870.91,871.9,864.9,21.79M,-0.20%
03/20/1996,869.98,861.67,870.83,861.67,24.37M,1.15%
03/19/1996,860.13,854.28,860.92,854.28,21.12M,0.66%
03/18/1996,854.46,855.8,860.52,853.54,20.69M,-0.25%
03/16/1996,856.58,856.92,857.92,851.47,15.60M,0.01%
03/15/1996,856.48,845.48,858.32,845.48,25.32M,1.43%
03/14/1996,844.43,838.22,849.45,834.79,25.53M,0.66%
03/13/1996,838.87,842.78,844.76,837.54,20.69M,-0.66%
03/12/1996,844.42,848.06,851.44,840.24,25.24M,-0.45%
03/11/1996,848.26,863.59,863.59,848.26,17.73M,-1.78%
03/09/1996,863.63,849.24,863.63,849.24,17.01M,1.71%
03/08/1996,849.15,842.42,849.24,842.42,17.95M,0.82%
03/07/1996,842.22,850.78,850.78,840.73,17.76M,-1.04%
03/06/1996,851.06,857.49,858.05,848.88,19.50M,-0.78%
03/05/1996,857.72,855.22,860.12,854.46,16.85M,0.31%
03/04/1996,855.1,858.22,861.75,853.97,17.25M,-0.16%
03/02/1996,856.51,852.76,857.28,852.7,13.70M,0.43%
02/29/1996,852.83,855.06,855.06,847.77,19.07M,-0.28%
